,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Variety
6307,Sassicaia 2010,Italy,Bolgheri Sassicaia,Tenuta San Guido,4.6,5458.0,299.0,2010,
6425,Amma Red 2015,Portugal,Alentejo,Arrepiado Velho,4.6,56.0,116.0,2015,
3672,Pauillac (Premier Grand Cru Classé) 2015,France,Pauillac,Château Mouton Rothschild,4.6,294.0,689.95,2015,
1582,Cos d'Estournel 2005,France,Saint-Estèphe,Cos d'Estournel,4.6,1608.0,248.95,2005,
1986,Corton-Charlemagne Grand Cru 2015,France,Corton-Charlemagne Grand Cru,Domaine des Héritiers Louis Jadot,4.6,84.0,221.95,2015,
5858,Pessac-Léognan (Premier Grand Cru Classé) 2008,France,Pessac-Léognan,Château Haut-Brion,4.6,489.0,414.95,2008,
5843,Pessac-Léognan (Premier Grand Cru Classé) 2005,France,Pessac-Léognan,Château Haut-Brion,4.6,485.0,799.95,2005,
3757,La Porte du Ciel Languedoc La Clape 2015,France,La Clape,Château la Négly,4.6,30.0,116.0,2015,
3752,Saint-Emilion Grand Cru (Premier Grand Cru Classé) 2002,France,Saint-Émilion Grand Cru,La Mondotte,4.6,30.0,182.42,2002,
2486,Kirchspiel Riesling GG 2012,Germany,Rheinhessen,Keller,4.6,127.0,179.0,2012,
1533,La Baraja 2016,Spain,Ribera del Duero,Bodegas Vilano,4.6,158.0,31.5,2016,
8350,L'Ermita Velles Vinyes Priorat 2006,Spain,Priorat,Álvaro Palacios,4.6,91.0,580.0,2006,
405,Hommage à Jacques Perrin Châteauneuf-du-Pape 2016,France,Châteauneuf-du-Pape,Château de Beaucastel,4.6,111.0,515.0,2016,
8156,Pauillac (Premier Grand Cru Classé) 2006,France,Pauillac,Château Mouton Rothschild,4.6,864.0,731.09,2006,
4124,Pessac-Léognan (Premier Grand Cru Classé) 2010,France,Pessac-Léognan,Château Haut-Brion,4.6,327.0,1197.9,2010,
5363,Sassicaia 2015,Italy,Bolgheri Sassicaia,Tenuta San Guido,4.6,4388.0,279.0,2015,
1765,Wehlener Sonnenuhr Riesling Auslese 2015,Germany,Mosel,Markus Molitor,4.6,72.0,99.95,2015,
123,Bramare Rebon Vineyard Malbec 2017,Argentina,Mendoza,Viña Cobos,4.6,103.0,75.07,2017,
312,Brut Champagne 2010,France,Champagne,Dom Pérignon,4.6,131.0,167.48,2010,
332,Belle Epoque Rosé Brut Champagne 2002,France,Champagne,Perrier-Jouët,4.6,138.0,259.95,2002,
402,N.P.U Brut Champagne (Nec Plus Ultra) 2002,France,Champagne,Bruno Paillard,4.6,181.0,174.97,2002,
286,Sir Winston Churchill Brut Champagne 2009,France,Champagne,Pol Roger,4.6,117.0,184.24,2009,
2921,Barolo Bricco Rocche 2015,Italy,Barolo,Ceretto,4.6,25.0,184.23,2015,
969,Quinta Da Gricha Douro 2009,Portugal,Douro,Churchill's,4.6,133.0,56.84,2009,
7772,Pessac-Léognan (Premier Grand Cru Classé) 2016,France,Pessac-Léognan,Château Haut-Brion,4.6,78.0,677.48,2016,
4299,Barolo Bussia Romirasco 2015,Italy,Barolo,Aldo Conterno,4.6,34.0,189.15,2015,
1973,Adrianna Vineyard Mundus Bacillus Terrae Malbec 2013,Argentina,Tupungato,Catena Zapata,4.6,181.0,273.71,2013,
1209,Zeltinger Schlossberg Riesling Trockenbeerenauslese 2006,Germany,Mosel,Markus Molitor,4.6,51.0,95.55,2006,
5185,Gran Enemigo Single Vineyard Gualtallary Cabernet Franc 2014,Argentina,Gualtallary,El Enemigo,4.6,4180.0,82.86,2014,
1919,Brunello di Montalcino Riserva 2010,Italy,Brunello di Montalcino,Biondi-Santi,4.6,178.0,542.23,2010,
5216,Chianti Classico Gran Selezione 2006,Italy,Chianti Classico,Isole e Olena,4.6,42.0,212.92,2006,
6690,Saint-Émilion Grand Cru 2010,France,Saint-Émilion Grand Cru,Gracia,4.6,60.0,229.95,2010,
5246,Saint-Julien (Grand Cru Classé) 2010,France,Saint-Julien,Château Léoville Las Cases,4.6,421.0,316.95,2010,
6682,Sassicaia 2011,Italy,Bolgheri Sassicaia,Tenuta San Guido,4.6,5997.0,249.0,2011,
6699,Series C 2017,South Africa,Paarl,Vilafonté,4.6,60.0,72.75,2017,
1275,Bramare Marchiori Vineyard Malbec 2017,Argentina,Mendoza,Viña Cobos,4.6,146.0,74.99,2017,
168,Saint-Julien (Grand Cru Classé) 2016,France,Saint-Julien,Château Léoville Las Cases,4.6,105.0,330.45,2016,
1306,Veneto Alzero Cabernet 2004,Italy,Veneto,Quintarelli Giuseppe,4.6,147.0,383.15,2004,
1805,Tignanello 2017,Italy,Toscana,Antinori,4.6,172.0,99.4,2017,
1117,Kurni Marche 2017,Italy,Marche,Oasi degli Angeli,4.6,139.0,106.6,2017,
3191,Cirsion Rioja 2011,Spain,Rioja,Bodegas Roda,4.6,268.0,209.0,2011,
338,Contador Rioja 2014,Spain,Rioja,Bodega Contador (Benjamín Romeo),4.6,109.0,328.95,2014,
4195,Vinhas Velhas Tinto 2017,Portugal,Alentejano,Quinta do Paral,4.6,33.0,29.99,2017,
1872,PS (Pagos Seleccionados) Ribera del Duero 2014,Spain,Ribera del Duero,Aalto,4.6,1757.0,189.0,2014,
1832,Pauillac (Grand Cru Classé) 2010,France,Pauillac,Château Pontet-Canet,4.6,1732.0,286.45,2010,
1299,Saint-Julien (Grand Cru Classé) 2015,France,Saint-Julien,Château Ducru-Beaucaillou,4.6,147.0,192.56,2015,
4,La Villa Rosé 2018,France,Languedoc,Château La Sauvageonne,4.6,25.0,68.95,2018,
1694,Tenuta Tignanello 'Solaia' 2016,Italy,Toscana,Antinori,4.6,166.0,338.53,2016,
8628,Saint-Julien (Grand Cru Classé) 2009,France,Saint-Julien,Château Léoville Poyferré,4.6,981.0,239.0,2009,
7917,Les Manyes 2016,Spain,Priorat,Terroir Al Límit Soc. Lda,4.6,81.0,199.0,2016,
4958,Cerretalto Brunello di Montalcino 2010,Italy,Brunello di Montalcino,Casanova di Neri,4.6,394.0,354.05,2010,
7496,Beckstoffer Las Piedras Vineyard Cabernet Sauvignon 2014,United States,St. Helena,Paul Hobbs,4.6,73.0,359.0,2014,
2765,Veneto Alzero Cabernet 2007,Italy,Veneto,Quintarelli Giuseppe,4.6,238.0,349.0,2007,
2703,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2010,France,Saint-Émilion Grand Cru,Château Cheval Blanc,4.6,233.0,1190.0,2010,
424,La Grande Année Brut Champagne 2012,France,Champagne,Bollinger,4.6,193.0,119.0,2012,
945,Malbec Argentino 2017,Argentina,Mendoza,Catena Zapata,4.6,1314.0,77.01,2017,
7671,Costa Russi (Barbaresco) Langhe 2011,Italy,Langhe,Gaja,4.6,76.0,520.0,2011,
950,Saint-Émilion Grand Cru 2010,France,Saint-Émilion Grand Cru,Le Dome,4.6,132.0,399.95,2010,
2783,Sassicaia 2005,Italy,Bolgheri Sassicaia,Tenuta San Guido,4.6,2397.0,564.4,2005,
464,Dom Ruinart Rosé Brut Champagne 2004,France,Champagne,Ruinart,4.6,221.0,259.0,2004,
7691,Pauillac (Premier Grand Cru Classé) 2004,France,Pauillac,Château Lafite Rothschild,4.6,763.0,799.95,2004,
7744,Proprietary Red 2014,United States,Oakville,Continuum,4.6,775.0,463.03,2014,
7016,Grange 2009,Australia,South Australia,Penfolds,4.6,648.0,730.12,2009,
700,Cristal Rosé Brut Champagne (Millésimé) 2007,France,Champagne,Louis Roederer,4.6,613.0,495.0,2007,
4513,Redigaffi Toscana 2015,Italy,Toscana,Tua Rita,4.6,358.0,208.55,2015,
4940,Almaviva 2017,Chile,Puente Alto,Almaviva,4.6,391.0,173.63,2017,
556,La Nieta 2007,Spain,Rioja,Viñedos de Páganos,4.6,117.0,83.95,2007,
833,Brut Rosé Champagne 2006,France,Champagne,Dom Pérignon,4.6,1414.0,315.0,2006,
862,Brut Champagne 2004,France,Champagne,Krug,4.6,1853.0,229.0,2004,
884,Brut Rosé Champagne N.V.,France,Champagne,Krug,4.6,2376.0,299.0,N.V.,
2234,Valbuena 5º 2014,Spain,Ribera del Duero,Vega Sicilia,4.6,1965.0,131.6,2014,
4904,Brunello di Montalcino Riserva 2013,Italy,Brunello di Montalcino,Gianni Brunelli,4.6,39.0,126.74,2013,
2225,De Bvris Amarone della Valpolicella Classico Riserva 2008,Italy,Amarone della Valpolicella Classico,Tommasi,4.6,196.0,249.0,2008,
7180,Tignanello 2016,Italy,Toscana,Antinori,4.6,6711.0,109.0,2016,
2170,Red 2013,Chile,Maipo Valley,Viñedo Chadwick,4.6,193.0,193.01,2013,
935,Sorì Tildìn (Barbaresco) Langhe 2014,Italy,Langhe,Gaja,4.6,131.0,470.0,2014,
662,Alexandra Champagne Rosé (Grande Cuvée) 2004,France,Champagne,Laurent-Perrier,4.6,503.0,349.0,2004,
885,Cristal Brut Champagne (Millésimé) 2005,France,Champagne,Louis Roederer,4.6,2385.0,251.23,2005,
7186,Cos d'Estournel 2009,France,Saint-Estèphe,Cos d'Estournel,4.6,675.0,390.0,2009,
4907,Sperss Barolo 2015,Italy,Barolo,Gaja,4.6,39.0,252.1,2015,
6862,Pomerol 2009,France,Pomerol,Château l'Eglise-Clinet,4.6,62.0,486.6,2009,
4911,Barolo Arione 2015,Italy,Barolo,Giacomo Conterno,4.6,39.0,241.53,2015,
910,Cristal Brut Champagne (Millésimé) 2007,France,Champagne,Louis Roederer,4.6,2949.0,223.23,2007,
973,Brut Champagne 2008,France,Champagne,Dom Pérignon,4.6,8349.0,170.59,2008,
990,Grande Cuvée Brut Champagne N.V.,France,Champagne,Krug,4.6,16160.0,189.0,N.V.,
265,Adrianna Vineyard Fortuna Terrae Malbec 2016,Argentina,Mendoza,Catena Zapata,4.6,107.0,89.9,2016,
