,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Variety
729,Margaux 2016,France,Margaux,Château Rauzan-Gassies,4.0,123.0,88.0,2016,
726,Reserve Spéciale Cabernet - Merlot 2017,France,Pays d'Oc,Philibert du Charme,4.0,123.0,6.61,2017,
7775,Castel Firmian Lagrein Trentino 2018,Italy,Trentino,Mezzacorona,4.0,78.0,7.58,2018,
1351,Pioneer Block 3 43 Degrees Sauvignon Blanc 2019,New Zealand,Marlborough,Saint Clair,4.0,55.0,18.95,2019,
229,Fronsac 2005,France,Fronsac,Château la Vieille Cure,4.0,106.0,39.95,2005,
4306,Cabernet Sauvignon 2017,South Africa,Franschhoek,Holden Manz,4.0,34.0,19.9,2017,
4305,Vernatsch Freisinger 2018,Italy,Südtirol - Alto Adige,Tramin,4.0,34.0,14.54,2018,
4301,Beaune 1er Cru 'Champs Pimont' 2017,France,Beaune 1er Cru 'Champs Pimont',Clos de la Chapelle,4.0,34.0,57.51,2017,
1999,Lu Ceppu Riserva Salice Salentino 2015,Italy,Salice Salentino,Masca del Tacco,4.0,183.0,15.49,2015,
1943,Priorat GR-174 2018,Spain,Priorat,Casa Gran del Siurana,4.0,1798.0,15.01,2018,
7766,Cavanera Rovo delle Coturnie Etna Rosso 2014,Italy,Etna,Firriato,4.0,78.0,26.99,2014,
7761,Rapsani Grande Reserve 2012,Greece,Rapsani,Tsantali,4.0,78.0,17.29,2012,
6134,Reserve Merlot 2016,South Africa,Walker Bay,Creation,4.0,52.0,36.0,2016,
7790,Critèra Primitivo 2017,Italy,Salento,Schola Sarmenti,4.0,783.0,9.76,2017,
7788,Premium Tinto 2017,Portugal,Dão,Vinha Maria,4.0,781.0,6.78,2017,
4341,Bourgogne Hautes-Côtes de Nuits 'La Montagne' 2017,France,Bourgogne Hautes-Côtes de Nuits,Domaine Truchetet,4.0,34.0,23.9,2017,
4340,Arbòre Cannonau di Sardegna 2013,Italy,Cannonau di Sardegna,Gabbas,4.0,34.0,19.45,2013,
4331,Cabernet - Syrah 2018,France,Pays d'Oc,Les Belles Lavandières,4.0,34.0,6.39,2018,
991,Classic Brut Champagne N.V.,France,Champagne,Deutz,4.0,16690.0,39.5,N.V.,
4330,Cuvée Compostelle Castillon - Côtes de Bordeaux 2005,France,Castillon - Côtes de Bordeaux,Château Côte Montpezat,4.0,34.0,18.95,2005,
4327,Calmo Cuvée 2016,Germany,Baden,Martin Waßmer,4.0,34.0,24.74,2016,
4326,Höhenflug Spätburgunder 2017,Germany,Pfalz,Hensel,4.0,34.0,16.75,2017,
4318,Terroir d'Altitude Malbec 2018,France,Languedoc-Roussillon,Fortant,4.0,34.0,8.71,2018,
1329,Mosel Alte Reben Riesling 2018,Germany,Mosel,Markus Molitor,4.0,55.0,17.8,2018,
2015,Pomerol 2012,France,Pomerol,Clos du Clocher,4.0,184.0,68.23,2012,
1966,Ghenos Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Torrevento,4.0,181.0,7.9,2017,
7783,Chateau des Jacques Clos de Rochegrès Moulin-à-Vent 2015,France,Moulin-à-Vent,Louis Jadot,4.0,78.0,31.96,2015,
6147,Merlot de Purcari 2017,Moldova,South Eastern,Château Purcari,4.0,521.0,12.98,2017,
7802,Pure Oh! Rigine Beaujolais 2017,France,Beaujolais,Les Bertrand,4.0,79.0,16.47,2017,
6121,La Chapelle de Bages Pauillac 2013,France,Pauillac,Château Haut-Bages Libéral,4.0,52.0,27.55,2013,
4357,3.9 2015,Spain,Pla de Bages,Abadal,4.0,341.0,17.9,2015,
3311,AB Alicante Bouschet 2012,Portugal,Alentejano,Esporão,4.0,272.0,34.12,2012,
3309,Bandol Rouge 2015,France,Bandol,Gros' Noré,4.0,272.0,31.9,2015,
1378,Von den Terrassen Riesling 2018,Germany,Mosel,Reinhard Knebel,4.0,56.0,14.35,2018,
2017,Merlot 2013,Spain,Somontano,Enate,4.0,184.0,35.69,2013,
1987,Domaine Ceptura Rouge 2015,Romania,Dealu Mare,Davino,4.0,182.0,26.9,2015,
1986,Bembibre Mencía 2015,Spain,Bierzo,Dominio de Tares,4.0,182.0,31.9,2015,
2967,Vire-Clessé 2014,France,Viré-Clessé,Les Héritiers du Comte Lafon,4.0,203.0,36.33,2014,
2966,Sauvignon Blanc 2019,New Zealand,Marlborough,Bishop's Leap,4.0,203.0,8.45,2019,
2951,Sauvignon Blanc 2017,United States,North Coast,Spottswoode,4.0,199.0,36.9,2017,
498,Three Pines Cabernet Sauvignon 2016,South Africa,Stellenbosch,Stark-Condé,4.0,115.0,38.99,2016,
6142,Crozes-Hermitage Domaine de Thalabert 2013,France,Crozes-Hermitage,Paul Jaboulet Aîné,4.0,520.0,35.95,2013,
6106,Pauillac (Grand Cru Classé) 2014,France,Pauillac,Château Clerc Milon,4.0,518.0,89.0,2014,
6098,Saint-Estèphe 2014,France,Saint-Estèphe,Château de Pez,4.0,515.0,37.9,2014,
7806,Le Clos Rouge Crozes-Hermitage 2010,France,Crozes-Hermitage,Delas,4.0,79.0,48.32,2010,
6077,Organic Nero di Troia 2017,Italy,Puglia,Maree d'Ione,4.0,510.0,6.95,2017,
7851,Numina Cabernet Franc 2016,Argentina,Mendoza,Salentein,4.0,796.0,26.27,2016,
7847,I Gran Reserva 2008,Spain,Rioja,Bodegas Faustino,4.0,7941.0,14.75,2008,
7844,3 Passo Rosso 2018,Italy,Vino d'Italia,Cielo e Terra,4.0,794.0,7.9,2018,
2914,Adènzia Bianco 2018,Italy,Sicilia,Baglio del Cristo di Campobello,4.0,193.0,12.06,2018,
1357,Mercurey Blanc 2017,France,Mercurey,Château de Chamirey,4.0,55.0,32.0,2017,
1356,Las Pizarras Chardonnay 2017,Chile,Aconcagua Costa,Errazuriz,4.0,55.0,75.76,2017,
1353,Two Princes Riesling 2018,Germany,Nahe,Prinz Salm,4.0,55.0,8.96,2018,
1100,Meandro Douro Tinto 2017,Portugal,Douro,Quinta do Vale Meão,4.0,1381.0,15.5,2017,
1097,Pessac-Léognan (Grand Cru Classé de Graves) 2016,France,Pessac-Léognan,Château de Fieuzal,4.0,138.0,51.66,2016,
1398,Bandol Blanc 2018,France,Bandol,Château de Pibarnon,4.0,57.0,26.04,2018,
1396,Pinot Grigio delle Venezie 2019,Italy,delle Venezie,Lenotti,4.0,57.0,5.95,2019,
1395,Masseria Surani Arthemis Fiano 2017,Italy,Puglia,Tommasi,4.0,57.0,8.9,2017,
1392,Lugana 2019,Italy,Lugana,Bulgarini,4.0,57.0,8.89,2019,
4388,Cabernet Sauvignon 2016,South Africa,Stellenbosch,Thelema,4.0,345.0,24.95,2016,
4385,Cavalli 2012,Italy,Toscana,Tenuta Degli Dei,4.0,345.0,41.26,2012,
974,Grand Grenache Gigondas 2012,France,Gigondas,Domaine Santa Duc,4.0,133.0,45.0,2012,
972,Zephyrus Shiraz 2017,Australia,Barossa,Sons of Eden,4.0,133.0,31.19,2017,
1386,La Soufrandière Climat Les Quarts Pouilly-Vinzelles 2017,France,Pouilly-Vinzelles,Bret Brothers & The Soufrandière,4.0,56.0,46.5,2017,
3276,Zogo 2017,Italy,Terre Siciliane,Paladin,4.0,27.0,7.6,2017,
3263,Saint-Émilion Grand Cru 2005,France,Saint-Émilion Grand Cru,Château Lusseau,4.0,27.0,38.95,2005,
3252,Reserve Syrah 2017,South Africa,Walker Bay,Creation,4.0,27.0,36.37,2017,
1416,Sauvignon Blanc 2019,South Africa,Constantia,Klein Constantia,4.0,57.0,15.5,2019,
1403,Kalk & Kreide Sauvignon Blanc 2019,Austria,Südsteiermark,Tement,4.0,57.0,13.71,2019,
4382,Chakalaka 2015,South Africa,Swartland,Spice Route,4.0,345.0,22.9,2015,
1362,Cuvée Especial Verdejo 2016,Spain,Rueda,José Pariente,4.0,56.0,32.5,2016,
2007,Tinto 2013,Portugal,Alentejano,Cortes de Cima,4.0,1835.0,14.62,2013,
2004,Llenca Plana Montsant 2017,Spain,Montsant,Terra de Falanis,4.0,183.0,11.5,2017,
2939,Sauvignon Blanc 2019,New Zealand,Marlborough,The Cloud Factory,4.0,197.0,10.9,2019,
2936,Chardonnay 2018,Argentina,Mendoza,Catena Alta,4.0,196.0,24.18,2018,
2935,Misco Verdicchio dei Castelli di Jesi Classico Superiore 2017,Italy,Verdicchio dei Castelli di Jesi,Tenuta di Tavignano,4.0,196.0,13.9,2017,
7843,La Grola 2016,Italy,Verona,Allegrini,4.0,794.0,16.08,2016,
7836,Viña Arana Reserva 2011,Spain,Rioja,La Rioja Alta,4.0,791.0,20.95,2011,
7835,Gran Reserva Rioja 2011,Spain,Rioja,Lan,4.0,791.0,16.95,2011,
7820,Il Numero Uno Zinfandel (Collezione di Famiglia) 2018,Italy,Puglia,Z1N,4.0,79.0,12.9,2018,
6110,Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Conte di Campiano,4.0,519.0,7.8,2017,
6056,Alicante 2017,Spain,Alicante,El Sequé,4.0,51.0,24.18,2017,
3246,Chambolle-Musigny Vieilles Vignes 2016,France,Chambolle-Musigny,Frédéric Magnien,4.0,27.0,56.54,2016,
3240,Les Quartz Châteauneuf-du-Pape 2017,France,Châteauneuf-du-Pape,Clos du Caillou,4.0,27.0,56.87,2017,
3237,Beaune 1er Cru Clos des Ursules 2016,France,Beaune Premier Cru,Domaine des Héritiers Louis Jadot,4.0,27.0,66.93,2016,
1434,Sancerre Blanc 2018,France,Sancerre,Dominique et Janine Crochet,4.0,58.0,15.5,2018,
244,Margaux (Grand Cru Classé) 2017,France,Margaux,Château Lascombes,4.0,107.0,86.76,2017,
243,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.0,107.0,130.97,2014,
941,La Cuvée Brut Champagne N.V.,France,Champagne,Laurent-Perrier,4.0,4740.0,37.4,N.V.,
933,Blanc de Blancs Cuvée Cuis Brut Champagne 1er Cru N.V.,France,Champagne Premier Cru,Pierre Gimonnet & Fils,4.0,4381.0,29.9,N.V.,
1389,Alea Riesling 2018,Australia,Clare Valley,Grosset,4.0,56.0,25.9,2018,
7869,Aufwind Cuvée Rotwein 2016,Germany,Pfalz,Hensel,4.0,80.0,11.5,2016,
7866,PaCo Sensazioni di Paolo 2016,Italy,Rosso Veronese,Paolo Cottini,4.0,80.0,16.9,2016,
2895,Te Arai Vineyard Chenin Blanc 2016,New Zealand,Gisborne,Millton,4.0,189.0,19.45,2016,
1279,Za Inspiraciju Vrhunsko Plavac Mali Barrique 2015,Croatia,Srednja I Juzna Dalmacija,Stina,4.0,146.0,18.9,2015,
1276,Les Terrasses de Saint Christophe Saint-Émilion Grand Cru 2016,France,Saint-Émilion Grand Cru,Château Tour Saint-Christophe,4.0,146.0,18.5,2016,
1273,Bolgheri Rosso 2018,Italy,Bolgheri,Le Macchiole,4.0,146.0,21.24,2018,
7858,La Luna 2017,France,Côte Vermeille,Bruno Duchêne,4.0,80.0,20.67,2017,
6090,Merlot 2017,South Africa,Durbanville,De Grendel,4.0,513.0,17.29,2017,
3224,Rioja Reserva 2015,Spain,Rioja,El Meson,4.0,27.0,11.9,2015,
3223,Vino Nobile di Montepulciano Riserva 2015,Italy,Vino Nobile di Montepulciano,Talosa,4.0,27.0,19.4,2015,
4413,Rosso di Montalcino 2017,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.0,349.0,16.08,2017,
4405,Ostuni 2019,Italy,Puglia,Montedidio,4.0,347.0,5.8,2019,
4389,Zinfandel 2018,United States,California,Woodhaven,4.0,345.0,7.95,2018,
139,Faithful Hound Red 2015,South Africa,Stellenbosch,Mulderbosch,4.0,1038.0,14.9,2015,
1103,Gattinara 2016,Italy,Gattinara,Travaglini,4.0,1387.0,29.24,2016,
3249,Russiz Superiore Cabernet Franc Collio 2017,Italy,Collio,Marco Felluga,4.0,27.0,26.81,2017,
6045,Primitivo di Manduria 2018,Italy,Primitivo di Manduria,Masseria Borgo dei Trulli,4.0,51.0,10.95,2018,
6043,Spätburgunder Trocken 2017,Germany,Pfalz,Stern,4.0,51.0,11.47,2017,
6069,Amphora 2016,Portugal,Alentejano,Cortes de Cima,4.0,51.0,22.42,2016,
6032,Petresco 2013,Italy,Chianti Classico,Cinciole,4.0,51.0,37.97,2013,
6030,Colheita Seleccionada Tinto 2017,Portugal,Alentejano,Quinta do Paral,4.0,51.0,19.99,2017,
6029,Pauillac (Grand Cru Classé) 2015,France,Pauillac,Château d'Armailhac,4.0,509.0,79.89,2015,
6026,Bin 138 Shiraz - Grenache - Mataro 2015,Australia,Barossa Valley,Penfolds,4.0,509.0,41.99,2015,
1475,Chablis 2018,France,Chablis,Domaine des Hâtes,4.0,60.0,15.5,2018,
4425,Rioja Vega Edición Limitada 2016,Spain,Rioja,Rioja Vega,4.0,35.0,11.9,2016,
4422,Gran Tiati 2011,Italy,Puglia,Teanum,4.0,35.0,34.9,2011,
4414,Salanques Priorat 2017,Spain,Priorat,Mas Doix,4.0,35.0,28.76,2017,
1431,JT Blanc Costières de Nîmes 2016,France,Costières-de-Nîmes,Château de Nages,4.0,58.0,18.03,2016,
1428,Staforte Soave Classico 2017,Italy,Soave Classico,Prà,4.0,58.0,15.9,2017,
1088,Gran Reserva Cabernet Sauvignon 2017,Chile,Colchagua Valley,TerraNoble,4.0,138.0,13.9,2017,
2862,Terroir Series Sauvignon Blanc 2018,New Zealand,Marlborough,Brancott Estate,4.0,179.0,9.99,2018,
2032,Saint-Émilion Grand Cru (Grand Cru Classé) 2001,France,Saint-Émilion Grand Cru,Château Quinault l'Enclos,4.0,185.0,81.9,2001,
2026,Private Selection Vinhas Velhas Tinto 2015,Portugal,Alentejo,Paulo Laureano,4.0,185.0,15.6,2015,
2025,Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Val di Suga,4.0,1848.0,34.0,2013,
2023,Crognolo Toscana 2015,Italy,Toscana,Tenuta Sette Ponti,4.0,1841.0,18.92,2015,
2906,Gris 2011,Italy,Friuli Isonzo,Lis Neris,4.0,192.0,39.69,2011,
2905,Gris 2017,Italy,Friuli Isonzo,Lis Neris,4.0,191.0,25.9,2017,
746,Leradici Barbera d'Asti 2018,Italy,Barbera d'Asti,Mauro Molino,4.0,124.0,15.47,2018,
3194,Rosso di Montalcino 2014,Italy,Rosso di Montalcino,Pietroso,4.0,269.0,19.95,2014,
3185,Ninquén (Mountain Vineyard) 2014,Chile,Colchagua Valley,MontGras,4.0,268.0,26.5,2014,
836,Blanc de Blancs Brut Champagne Grand Cru 'Chouilly' N.V.,France,Champagne Grand Cru 'Chouilly',Legras & Haas,4.0,1435.0,41.93,N.V.,
835,Cuvée Sublime Demi-Sec Champagne N.V.,France,Champagne,Piper-Heidsieck,4.0,1434.0,39.99,N.V.,
901,Brut Champagne N.V.,France,Champagne,Besserat de Bellefon,4.0,2752.0,29.9,N.V.,
878,Blanc de Noirs Brut Champagne N.V.,France,Champagne,Fleury,4.0,2181.0,40.95,N.V.,
1448,Contessa Entellina Chiarandà 2017,Italy,Contessa Entellina,Donnafugata,4.0,59.0,23.9,2017,
2849,Mâcon-Milly-Lamartine 2017,France,Mâcon-Milly-Lamartine,Les Héritiers du Comte Lafon,4.0,177.0,20.9,2017,
2040,12 e Mezzo Negroamaro del Salento 2018,Italy,Salento,Varvaglione,4.0,185.0,7.31,2018,
7877,Rungg Cabernet - Merlot 2017,Italy,Südtirol - Alto Adige,Tramin,4.0,80.0,12.48,2017,
6007,Mercurey 2016,France,Mercurey,Château de Chamirey,4.0,505.0,31.96,2016,
2077,Côtes de Bordeaux 2016,France,Côtes de Bordeaux,Château Réaut,4.0,187.0,13.95,2016,
2072,Pessac-Léognan 2013,France,Pessac-Léognan,Château La Garde,4.0,187.0,31.9,2013,
6004,Résonance Pinot Noir 2015,United States,Willamette Valley,Résonance,4.0,504.0,50.33,2015,
5988,Le Cap Maritime Pinot Noir 2017,South Africa,Coastal Region,Boekenhoutskloof,4.0,50.0,50.56,2017,
7933,Casalferro Toscana 2013,Italy,Toscana,Ricasoli,4.0,817.0,36.37,2013,
2798,Chablis Tête d'Or 2016,France,Chablis,Billaud-Simon,4.0,170.0,24.27,2016,
1514,Chenin Blanc 2016,South Africa,Citrusdal Mountain,Botanica,4.0,61.0,27.95,2016,
3163,Barolo 2013,Italy,Barolo,Prunotto,4.0,2659.0,30.12,2013,
823,Blanc de Blancs Brut Champagne Grand Cru 'Aÿ' N.V.,France,Champagne Grand Cru 'Aÿ',Lallier,4.0,1306.0,55.05,N.V.,
4485,Shiraz 2017,Australia,Barossa Valley,Schild Estate,4.0,353.0,15.9,2017,
4435,The Winemaster's Pinotage 2019,South Africa,Coastal Region,Nederburg,4.0,35.0,6.31,2019,
1474,Kallstadter Saumagen Riesling Spätlese Trocken 2016,Germany,Pfalz,Koehler-Ruprecht,4.0,60.0,17.45,2016,
1471,Trebbiano - Pinot Grigio 2019,Italy,Puglia,Cielo e Terra,4.0,59.0,4.25,2019,
2845,Molin Lugana 2018,Italy,Lugana,Cà Maiol,4.0,177.0,14.8,2018,
2081,Barolo 2009,Italy,Barolo,Mauro Molino,4.0,187.0,59.0,2009,
7911,Pomerol 2016,France,Pomerol,Château Petit-Village,4.0,81.0,96.99,2016,
7908,Saint-Émilion Grand Cru (Grand Cru Classé) 2008,France,Saint-Émilion Grand Cru,Château Moulin du Cadet,4.0,81.0,24.17,2008,
468,Conde de Valdemar Gran Reserva 2010,Spain,Rioja,Bodegas Valdemar,4.0,1134.0,18.79,2010,
2136,Margaux (Grand Cru Classé) 2015,France,Margaux,Château Marquis d'Alesme,4.0,190.0,56.95,2015,
1508,Ermitage de l'Orée 2003,France,Hermitage,M. Chapoutier,4.0,61.0,181.5,2003,
1506,Página Sauvignon Blanc 2017,Portugal,Lisboa,Romana Vini,4.0,61.0,16.57,2017,
3152,La Rosa Barolo 2013,Italy,Barolo,Fontanafredda,4.0,264.0,63.05,2013,
3150,Libertà 2014,Italy,Toscana,Collazzi,4.0,263.0,12.13,2014,
267,Esprit de Granit Saint-Joseph 2012,France,Saint-Joseph,Cave de Tain,4.0,107.0,27.93,2012,
259,Nero 2010,Italy,Salento,Conti Zecca,4.0,107.0,25.12,2010,
4471,Listrac-Médoc 2015,France,Listrac-Médoc,Château Clarke,4.0,350.0,37.82,2015,
1488,Le Margherite 2018,Italy,Langhe,Brandini,4.0,60.0,14.65,2018,
2088,Château Romassan Rouge 2015,France,Bandol,Domaines Ott,4.0,188.0,33.04,2015,
2835,Graue Freyheit 2017,Austria,Neusiedlersee,Heinrich,4.0,176.0,29.0,2017,
5950,Leithaberg Blaufränkisch 2016,Austria,Neusiedlersee-Hügelland,Esterházy,4.0,50.0,14.73,2016,
7969,The Uprising Red 2019,Australia,South Eastern Australia,19 Crimes,4.0,822.0,11.89,2019,
2756,La Oveja Negra Verdejo 2018,Spain,Castilla,Bodegas Parra Jimenez,4.0,163.0,6.32,2018,
2751,Via Colțul Pietrei Sauvignon Blanc 2017,Romania,Dealu Mare,Vitis Metamorfosis,4.0,162.0,11.5,2017,
2780,Malterdinger 2017,Germany,Baden,Bernhard Huber,4.0,167.0,18.0,2017,
5980,Méria Maremma Toscana 2014,Italy,Maremma Toscana,Serpaia di Endrizzi,4.0,50.0,17.4,2014,
5979,Poggio Apricale Rosso di Montalcino 2014,Italy,Rosso di Montalcino,Martoccia,4.0,50.0,13.19,2014,
4503,Barolo Ravera 2013,Italy,Barolo,Elvio Cogno,4.0,356.0,63.49,2013,
4496,Castillon - Côtes de Bordeaux 2005,France,Castillon - Côtes de Bordeaux,Château d'Aiguilhe,4.0,356.0,44.95,2005,
4520,Barbera d’Alba Vigna Martina 2016,Italy,Barbera d'Alba,Elio Grasso,4.0,358.0,31.96,2016,
801,Pinot Noir Brut Nature Rosé Champagne N.V.,France,Champagne,Drappier,4.0,1115.0,36.79,N.V.,
5974,Pietra (Primitivo - Susumaniello) 2018,Italy,Salento,Menhir,4.0,50.0,10.86,2018,
8028,Spätburgunder Trocken 2012,Germany,Rheinhessen,Kühling-Gillot,4.0,84.0,14.89,2012,
8026,Appassite Negroamaro - Primitivo 2019,Italy,Puglia,Luna Argenta,4.0,84.0,7.52,2019,
5955,Susumaniello 2018,Italy,Puglia,Epicuro,4.0,50.0,12.5,2018,
8041,Cuvèe 2013,Romania,Murfatlar,Alira,4.0,84.0,11.9,2013,
8037,Alto Sangiovese 2012,Italy,Toscana,Petra,4.0,84.0,39.58,2012,
2140,Arcane XV Le Diable 2015,France,Vin de France,Xavier Vignon,4.0,1900.0,17.95,2015,
2126,Bin 128 Shiraz 2017,Australia,Coonawarra,Penfolds,4.0,190.0,50.85,2017,
2760,Terramatter Alvarinho 2017,Portugal,Monção e Melgaço,Soalheiro,4.0,164.0,18.03,2017,
8031,The Dry Land Collection Resolve Pinotage 2017,South Africa,Paarl,Perdeberg,4.0,84.0,12.5,2017,
5944,Pinot Noir Estate Grown 2016,United States,Los Carneros,Schug,4.0,50.0,63.15,2016,
5908,Medium Sweet Tinto 2018,Portugal,Lisboa,Portada,4.0,490.0,6.83,2018,
751,Cuvèe de Réserve Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Marc Hébrart,4.0,820.0,29.5,N.V.,
748,Brut Rosé Champagne Premier Cru N.V.,France,Champagne Premier Cru,Marc Hébrart,4.0,806.0,32.5,N.V.,
4514,Saint-Estèphe 2016,France,Saint-Estèphe,Château Phélan Ségur,4.0,358.0,56.54,2016,
4507,Saint-Estèphe 2016,France,Saint-Estèphe,Château de Pez,4.0,357.0,44.9,2016,
792,Brut Rosé N.V.,Austria,Niederösterreich,Weingut Bründlmayer,4.0,1034.0,23.66,N.V.,
779,Franciacorta Cuvée Prestige Rosé N.V.,Italy,Franciacorta,Ca' del Bosco,4.0,982.0,38.9,N.V.,
4525,Alentejano Tinto 2018,Portugal,Alentejano,Fitapreta,4.0,359.0,11.7,2018,
778,Otello 1813 Nero di Lambrusco 2015,Italy,Emilia,Ceci,4.0,974.0,14.9,2015,
5894,Asili Barbaresco 2012,Italy,Barbaresco,Cascina Luisin,4.0,49.0,38.6,2012,
2715,Einstern Pinot Blanc 2015,Germany,Mosel,Markus Molitor,4.0,159.0,18.95,2015,
2150,Terroir du Trias Bandol Rouge 2011,France,Bandol,Domaine de Terrebrune,4.0,191.0,48.9,2011,
2141,Phantom 2016,United States,California,Bogle,4.0,1906.0,23.09,2016,
766,Primitivo Salento Pilùna 2018,Italy,Salento,Castello Monaci,4.0,1247.0,6.9,2018,
764,Haut-Médoc 2012,France,Haut-Médoc,Château Sociando-Mallet,4.0,1243.0,52.35,2012,
8066,Bin 28 Kalimna Shiraz 2017,Australia,Barossa Valley,Penfolds,4.0,848.0,33.9,2017,
758,Première Cuvée Rosé Brut Champagne N.V.,France,Champagne,Bruno Paillard,4.0,857.0,49.95,N.V.,
1526,Schüttenberg Chardonnay 2018,Austria,Niederösterreich,Markowitsch,4.0,62.0,16.58,2018,
1519,Pessac-Léognan Blanc 2005,France,Pessac-Léognan,Château de Fieuzal,4.0,61.0,44.95,2005,
1527,Von Den Grossen Lagen 2018,Germany,Nahe,Korrell,4.0,62.0,19.44,2018,
3143,Bourgogne Pinot Noir 2017,France,Bourgogne,Domaine Henri Boillot,4.0,263.0,27.9,2017,
3133,L'Hospitalet de Gazin Pomerol 2014,France,Pomerol,Château Gazin,4.0,262.0,35.09,2014,
3132,Saint-Émilion Grand Cru (Grand Cru Classé) 2015,France,Saint-Émilion Grand Cru,Château La Dominique,4.0,262.0,55.95,2015,
2196,Syrah 2017,Italy,delle Venezie,Paladin,4.0,194.0,7.63,2017,
2191,Redmont 2016,Austria,Carnuntum,Markowitsch,4.0,194.0,18.9,2016,
2158,Director's Cut Cabernet Sauvignon 2016,United States,Alexander Valley,Francis Ford Coppola,4.0,1918.0,29.9,2016,
2724,Goldberg Riesling 2016,Germany,Wawern,Van Volxem,4.0,160.0,26.47,2016,
2722,Sauvignon Blanc 2018,Germany,Rheinhessen,Knewitz,4.0,159.0,10.88,2018,
8065,Haut-Médoc (Grand Cru Classé) 2015,France,Haut-Médoc,Château La Tour Carnet,4.0,848.0,39.5,2015,
5909,Gigondas La Gille 2017,France,Gigondas,Famille Perrin,4.0,490.0,22.9,2017,
3161,La Montesa 2016,Spain,Rioja,Palacios Remondo,4.0,2651.0,13.95,2016,
3160,Cygnus Cabernet Sauvignon - Nero d'Avola Regaleali 2016,Italy,Terre Siciliane,Tasca d'Almerita,4.0,265.0,12.75,2016,
1558,Ungeheuer GG 2016,Germany,Pfalz,Georg Mosbacher,4.0,63.0,32.27,2016,
716,Lightly Sparkling - Sauvignon Blanc 2017,New Zealand,Marlborough,Villa Maria,4.0,667.0,10.99,2017,
767,Cava Gran Reserva Brut Nature Reserva de la Familia 2016,Spain,Cava,Juvé & Camps,4.0,908.0,16.48,2016,
752,Saint-Estèphe 2016,France,Saint-Estèphe,Château Le Crock,4.0,124.0,38.25,2016,
5887,Châteauneuf-du-Pape 2016,France,Châteauneuf-du-Pape,Domaine Pierre André,4.0,49.0,39.15,2016,
5885,Alte Reben Spätburgunder 2016,Germany,Baden,Bernhard Huber,4.0,49.0,34.9,2016,
5872,Vie Cave Maremma Toscana 2016,Italy,Maremma Toscana,Fattoria Aldobrandesca,4.0,49.0,24.5,2016,
8076,Sancerre Belle Dame 2014,France,Sancerre,Domaine Vacheron,4.0,85.0,45.9,2014,
5890,Old Vine Zinfandel 2016,United States,Sonoma County,Ravenswood,4.0,49.0,25.99,2016,
5865,Cannubi Boschis Barolo 2014,Italy,Barolo,Virna,4.0,49.0,61.98,2014,
5857,La Garnacha Perdida 2017,Spain,Priorat,Proyecto Garnachas de España,4.0,489.0,18.95,2017,
2692,Critone Bianco 2019,Italy,Val di Neto,Librandi,4.0,156.0,7.9,2019,
2691,Clos du Papillon Savennières 2015,France,Savennières,Domaine du Closel - Château des Vaults,4.0,155.0,67.45,2015,
2213,Appassimento Rosso 2017,Italy,Puglia,Passo Grande,4.0,195.0,7.28,2017,
2174,Villa Barbi Umbria Rosso 2016,Italy,Umbria,Decugnano dei Barbi,4.0,193.0,8.95,2016,
2168,Terroir Languedoc (Syrah - Grenache) 2017,France,Languedoc,Gérard Bertrand,4.0,1921.0,10.42,2017,
8097,Edición Limitada B 2016,Chile,Colchagua Valley,Caliterra,4.0,85.0,15.78,2016,
5848,Villa Antinori Chianti Classico Riserva 2015,Italy,Chianti Classico,Antinori,4.0,4865.0,19.7,2015,
5837,Private Collection 2017,South Africa,Durbanville,Diemersdal,4.0,485.0,18.5,2017,
2661,Podfuck 2016,Czech Republic,Morava,Milan Nestarec,4.0,151.0,28.9,2016,
2658,Coste a Preola Grillo 2018,Italy,Sicilia,Tenuta Gorghi Tondi,4.0,150.0,8.72,2018,
4594,Felino Cabernet Sauvignon 2017,Argentina,Mendoza,Viña Cobos,4.0,3617.0,13.25,2017,
4592,Pomerol 2014,France,Pomerol,Château Gazin,4.0,361.0,96.5,2014,
4572,La Clef de Voute Saint-Émilion 2015,France,Saint-Émilion,Vignobles Moreau,4.0,36.0,19.5,2015,
709,Cartizze Valdobbiadene Superiore Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Bisol,4.0,636.0,31.03,N.V.,
695,Cuvée D Champagne N.V.,France,Champagne,Veuve A. Devaux,4.0,586.0,36.59,N.V.,
4577,Clos Marie Arbois 2016,France,Arbois,Domaine Ratte,4.0,36.0,28.66,2016,
4576,Château La Grave Fronsac 2016,France,Fronsac,Paul Barre,4.0,36.0,54.25,2016,
4547,AB Ericio 2013,Austria,Mittelburgenland,Hans Igler,4.0,36.0,33.25,2013,
4546,Predappio Sangiovese Riserva 2013,Italy,Emilia-Romagna,Conde,4.0,36.0,22.91,2013,
